酔狂HEAVEN！ / 煉獄庭園
8 34.65 34.65
7 34.95 34.95
2 35.25 35.25
5 35.4 35.4
8 36 36
7 36.15 36.15
7 36.45 36.45
6 36.75 36.75
6 37.05 37.05
1 37.35 37.35
6 37.65 37.65
7 37.8 37.8
8 38.1 38.1
1 38.4 38.4
5 38.55 38.55
4 38.7 38.7
8 38.85 38.85
2 39 39
6 39.15 39.15
3 39.3 39.3
7 39.45 39.45
1 39.6 39.6
2 39.75 39.75
4 39.9 39.9
3 40.05 40.05
5 40.2 40.2
6 40.35 40.35
8 40.5 40.5
7 40.65 40.65
4 41.1 41.1
2 41.4 41.4
3 41.55 41.55
6 41.85 41.85
1 42.75 42.75
2 42.9 42.9
4 43.05 43.05
6 43.2 43.2
7 43.2 43.2
2 43.5 43.5
3 43.5 43.5
1 43.8 43.8
4 43.8 43.8
5 44.1 44.1
8 44.1 44.1
1 44.4 44.4
4 44.4 44.4
2 44.7 44.7
3 44.7 44.7
6 45 45
7 45 45
5 45.3 45.3
8 45.3 45.3
5 45.6 45.6
5 45.75 45.75
6 45.9 45.9
6 46.05 46.05
7 46.2 46.2
7 46.35 46.35
8 46.5 46.5
8 46.65 46.65
1 46.8 46.8
1 46.95 46.95
2 47.1 47.1
2 47.25 47.25
3 47.4 47.4
3 47.55 47.55
4 47.7 47.7
4 47.85 47.85
5 48 48
6 48.075 48.075
7 48.15 48.15
8 48.3 48.3
7 48.375 48.375
6 48.45 48.45
1 48.6 48.6
2 48.675 48.675
3 48.75 48.75
4 48.9 48.9
3 48.975 48.975
2 49.05 49.05
1 49.2 49.2
4 49.275 49.275
2 49.35 49.35
3 49.425 49.425
1 49.5 49.5
4 49.575 49.575
2 49.65 49.65
3 49.725 49.725
5 49.8 49.8
8 49.875 49.875
6 49.95 49.95
7 50.025 50.025
5 50.1 50.1
8 50.175 50.175
6 50.25 50.25
7 50.325 50.325
5 50.7 50.7
6 50.85 50.85
7 51 51
4 51.3 51.3
3 51.6 51.6
2 52.05 52.05
1 52.5 52.5
4 52.8 52.8
3 53.1 53.1
7 53.4 53.4
8 53.55 53.55
8 53.85 53.85
1 54.75 54.75
2 54.9 54.9
3 55.05 55.05
4 55.2 55.2
5 55.5 55.5
4 55.8 55.8
5 55.95 55.95
4 56.25 56.25
1 56.55 56.55
2 56.7 56.7
3 56.85 56.85
4 57 57
4 57.3 57.3
3 57.6 57.6
3 57.9 57.9
3 58.05 58.05
3 58.35 58.35
2 58.5 58.5
3 58.65 58.65
5 60.3 60.3
6 60.45 60.45
7 60.6 60.6
4 60.9 60.9
3 61.2 61.2
2 61.65 61.65
1 62.1 62.1
2 62.4 62.4
1 62.7 62.7
5 63 63
6 63.15 63.15
6 63.45 63.45
6 64.35 64.35
7 64.5 64.5
8 64.65 64.65
4 64.8 64.8
5 65.1 65.1
4 65.4 65.4
5 65.55 65.55
4 65.85 65.85
3 66.15 66.15
2 66.45 66.45
1 66.6 66.6
2 66.9 66.9
3 67.2 67.2
2 67.95 67.95
3 67.95 67.95
6 68.1 68.1
7 68.1 68.1
2 68.25 68.25
3 68.25 68.25
4 69.6 69.6
4 69.75 69.75
4 69.9 69.9
4 70.05 70.05
4 70.2 70.2
4 70.35 70.35
4 70.5 70.5
4 70.65 70.65
4 70.8 70.8
4 70.95 70.95
4 71.1 71.1
4 71.25 71.25
4 71.4 71.4
4 71.55 71.55
4 71.7 71.7
4 71.85 71.85
1 72 72
4 72 72
1 72.3 72.3
4 72.3 72.3
4 72.45 72.45
2 72.6 72.6
4 72.75 72.75
1 72.9 72.9
4 73.05 73.05
1 73.2 73.2
4 73.2 73.2
1 73.5 73.5
4 73.5 73.5
4 73.65 73.65
2 73.8 73.8
4 73.95 73.95
1 74.1 74.1
4 74.25 74.25
1 74.4 74.4
1 74.55 74.55
2 74.7 74.7
2 74.85 74.85
3 75 75
3 75.15 75.15
4 75.3 75.3
4 75.45 75.45
6 75.6 75.6
7 75.75 75.75
6 76.05 76.05
4 76.35 76.35
4 76.5 76.5
4 76.65 76.65
1 76.8 76.8
4 76.8 76.8
1 77.1 77.1
4 77.1 77.1
4 77.25 77.25
2 77.4 77.4
3 77.55 77.55
1 77.7 77.7
4 77.85 77.85
1 78 78
4 78 78
1 78.3 78.3
4 78.3 78.3
4 78.45 78.45
2 78.6 78.6
3 78.75 78.75
1 78.9 78.9
4 79.05 79.05
1 79.2 79.2
2 79.35 79.35
3 79.5 79.5
1 79.65 79.65
2 79.8 79.8
3 79.95 79.95
1 80.1 80.1
2 80.25 80.25
4 80.4 80.4
3 80.475 80.475
2 80.55 80.55
1 80.7 80.7
2 80.775 80.775
3 80.85 80.85
8 81 81
7 81.075 81.075
6 81.15 81.15
5 81.3 81.3
6 81.375 81.375
7 81.45 81.45
6 81.6 81.6
7 81.75 81.75
4 81.9 81.9
6 82.2 82.2
7 82.35 82.35
4 82.5 82.5
6 82.8 82.8
7 82.95 82.95
4 83.1 83.1
6 83.25 83.25
7 83.55 83.55
8 83.7 83.7
6 84 84
7 84.15 84.15
4 84.3 84.3
6 84.6 84.6
7 84.75 84.75
4 84.9 84.9
6 85.2 85.2
7 85.35 85.35
4 85.5 85.5
3 85.65 85.65
2 85.95 85.95
1 86.1 86.1
6 86.4 86.4
7 86.55 86.55
4 86.7 86.7
6 87 87
7 87.15 87.15
4 87.3 87.3
6 87.6 87.6
7 87.75 87.75
4 87.9 87.9
6 88.05 88.05
7 88.35 88.35
8 88.5 88.5
1 88.8 88.8
2 89.1 89.1
3 89.4 89.4
4 89.55 89.55
2 89.85 89.85
1 91.2 91.2
4 91.2 91.2
1 91.5 91.5
4 91.5 91.5
1 91.65 91.65
3 91.8 91.8
1 91.95 91.95
4 92.1 92.1
1 92.25 92.25
1 92.4 92.4
4 92.4 92.4
1 92.7 92.7
4 92.7 92.7
1 92.85 92.85
3 93 93
1 93.15 93.15
4 93.3 93.3
1 93.45 93.45
4 93.6 93.6
4 93.75 93.75
3 93.9 93.9
3 94.05 94.05
2 94.2 94.2
2 94.35 94.35
1 94.5 94.5
1 94.65 94.65
7 94.8 94.8
6 94.95 94.95
7 95.25 95.25
4 95.55 95.55
4 95.7 95.7
4 95.85 95.85
1 96 96
4 96 96
1 96.3 96.3
4 96.3 96.3
1 96.45 96.45
3 96.6 96.6
2 96.75 96.75
4 96.9 96.9
1 97.05 97.05
1 97.2 97.2
4 97.2 97.2
1 97.5 97.5
4 97.5 97.5
1 97.65 97.65
3 97.8 97.8
2 97.95 97.95
4 98.1 98.1
1 98.25 98.25
4 98.4 98.4
3 98.55 98.55
2 98.7 98.7
4 98.85 98.85
3 99 99
2 99.15 99.15
4 99.3 99.3
3 99.45 99.45
1 99.6 99.6
2 99.675 99.675
3 99.75 99.75
4 99.9 99.9
3 99.975 99.975
2 100.05 100.05
5 100.2 100.2
6 100.275 100.275
7 100.35 100.35
8 100.5 100.5
7 100.575 100.575
6 100.65 100.65
7 100.8 100.8
6 100.95 100.95
1 101.1 101.1
7 101.4 101.4
6 101.55 101.55
1 101.7 101.7
7 102 102
6 102.15 102.15
1 102.3 102.3
7 102.45 102.45
6 102.75 102.75
5 102.9 102.9
7 103.2 103.2
1 103.5 103.5
7 103.8 103.8
6 103.95 103.95
1 104.1 104.1
7 104.4 104.4
6 104.55 104.55
1 104.7 104.7
2 104.85 104.85
3 105.15 105.15
4 105.3 105.3
7 105.6 105.6
6 105.75 105.75
1 105.9 105.9
7 106.2 106.2
6 106.35 106.35
1 106.5 106.5
7 106.8 106.8
6 106.95 106.95
1 107.1 107.1
7 107.25 107.25
6 107.55 107.55
5 107.7 107.7
4 108 108
3 108.3 108.3
2 108.6 108.6
1 108.75 108.75
3 109.05 109.05
2 110.4 111.6
3 110.4 111.6
6 110.4 111.6
7 110.4 111.6
Hard 5
4 2.25 2.25
2 2.55 2.55
4 2.85 2.85
1 3.15 3.15
3 3.45 3.45
2 3.75 3.75
4 4.05 4.05
5 4.35 4.35
7 4.65 4.65
6 4.95 4.95
8 5.25 5.25
5 5.55 5.55
7 5.85 5.85
6 6.15 6.15
8 6.45 6.45
1 6.75 6.75
2 6.9 6.9
3 7.05 7.05
4 7.35 7.35
3 7.5 7.5
2 7.65 7.65
1 7.95 7.95
2 8.1 8.1
3 8.25 8.25
4 8.55 8.55
3 8.7 8.7
2 8.85 8.85
1 9.15 9.15
2 9.3 9.3
3 9.45 9.45
8 9.75 9.75
7 9.9 9.9
6 10.05 10.05
5 10.35 10.35
6 10.5 10.5
7 10.65 10.65
5 10.8 10.8
7 10.95 10.95
5 11.1 11.1
7 11.25 11.25
5 11.4 11.4
7 11.55 11.55
5 11.7 11.7
7 11.85 11.85
1 12 12
2 12.3 12.3
3 12.6 12.6
4 12.9 12.9
3 13.05 13.05
2 13.35 13.35
1 13.65 13.65
8 13.95 13.95
7 14.1 14.1
8 14.25 14.25
4 14.55 14.55
3 14.7 14.7
2 15 15
1 15.3 15.3
2 15.45 15.45
3 15.75 15.75
4 16.05 16.05
5 16.35 16.35
6 16.5 16.5
5 16.65 16.65
1 16.95 16.95
2 17.1 17.1
3 17.4 17.4
4 17.7 17.7
3 17.85 17.85
2 18.15 18.15
1 18.45 18.45
8 18.75 18.75
7 18.9 18.9
8 19.05 19.05
4 19.35 19.35
3 19.5 19.5
2 19.8 19.8
1 20.1 20.1
4 20.4 20.4
2 20.55 20.55
4 20.7 20.7
2 20.85 20.85
4 21 21
2 21.15 21.15
4 21.3 21.3
2 21.45 21.45
8 21.75 21.75
7 21.9 21.9
6 22.2 22.2
5 22.5 22.5
6 22.65 22.65
7 22.95 22.95
8 23.25 23.25
5 23.55 23.55
6 23.7 23.7
5 23.85 23.85
5 24.15 24.15
6 24.3 24.3
7 24.6 24.6
8 24.9 24.9
7 25.05 25.05
6 25.35 25.35
5 25.65 25.65
8 25.95 25.95
7 26.1 26.1
8 26.25 26.25
8 26.55 26.55
7 26.7 26.7
6 27 27
5 27.3 27.3
6 27.45 27.45
7 27.75 27.75
8 28.05 28.05
5 28.35 28.35
6 28.5 28.5
5 28.65 28.65
5 28.95 28.95
6 29.1 29.1
7 29.4 29.4
8 29.7 29.7
5 30 30
8 30.15 30.15
5 30.3 30.3
8 30.45 30.45
5 30.6 30.6
8 30.75 30.75
5 30.9 30.9
8 31.05 31.05
5 31.2 31.2
6 31.35 31.35
6 31.65 31.65
7 31.95 31.95
7 32.25 32.25
8 32.55 32.55
6 32.85 32.85
7 33 33
1 33.3 33.3
4 33.6 33.6
1 33.75 33.75
4 33.9 33.9
3 34.05 34.05
2 34.35 34.35
4 34.65 34.65
3 34.95 34.95
2 35.25 35.25
5 35.4 35.4
8 36 36
7 36.15 36.15
7 36.45 36.45
6 36.75 36.75
6 37.05 37.05
5 37.35 37.35
6 37.65 37.65
7 37.8 37.8
8 38.1 38.1
1 38.4 38.4
4 38.55 38.55
2 38.7 38.7
3 38.85 38.85
1 39 39
4 39.15 39.15
2 39.3 39.3
3 39.45 39.45
1 39.6 39.6
4 39.75 39.75
2 39.9 39.9
3 40.05 40.05
1 40.2 40.2
4 40.35 40.35
2 40.5 40.5
3 40.65 40.65
4 41.1 41.1
2 41.4 41.4
3 41.55 41.55
6 41.85 41.85
5 42.75 42.75
6 42.9 42.9
8 43.05 43.05
5 43.2 43.2
6 43.5 43.5
7 43.8 43.8
8 44.1 44.1
1 44.4 44.4
5 44.4 44.4
2 44.7 44.7
6 44.7 44.7
3 45 45
7 45 45
4 45.3 45.3
8 45.3 45.3
5 45.6 45.6
7 45.75 45.75
6 45.9 45.9
8 46.05 46.05
5 46.2 46.2
7 46.35 46.35
6 46.5 46.5
8 46.65 46.65
1 46.8 46.8
3 46.95 46.95
2 47.1 47.1
4 47.25 47.25
1 47.4 47.4
3 47.55 47.55
2 47.7 47.7
4 47.85 47.85
1 48 48.3
4 48.3 48.6
2 48.6 48.9
3 48.9 49.2
1 49.2 49.2
2 49.35 49.35
3 49.5 49.5
4 49.65 49.65
1 49.8 49.8
2 49.95 49.95
3 50.1 50.1
4 50.25 50.25
5 50.7 50.7
6 50.85 50.85
7 51 51
4 51.3 51.3
3 51.6 51.6
2 52.05 52.05
1 52.5 52.5
4 52.8 52.8
3 53.1 53.1
2 53.4 53.4
1 53.55 53.55
1 53.85 53.85
1 54.75 54.75
2 54.9 54.9
3 55.05 55.05
4 55.2 55.2
1 55.5 55.5
4 55.8 55.8
1 55.95 55.95
4 56.25 56.25
1 56.55 56.55
2 56.7 56.7
3 56.85 56.85
4 57 57
4 57.3 57.3
3 57.6 57.6
3 57.9 57.9
3 58.05 58.05
3 58.35 58.35
2 58.5 58.5
3 58.65 58.65
5 60.3 60.3
6 60.45 60.45
7 60.6 60.6
4 60.9 60.9
3 61.2 61.2
2 61.65 61.65
1 62.1 62.1
2 62.4 62.4
1 62.7 62.7
4 63 63
3 63.15 63.15
3 63.45 63.45
5 64.35 64.35
6 64.5 64.5
7 64.65 64.65
8 64.8 64.8
5 65.1 65.1
8 65.4 65.4
5 65.55 65.55
8 65.85 65.85
7 66.15 66.15
6 66.45 66.45
5 66.6 66.6
6 66.9 66.9
7 67.2 67.2
6 67.95 67.95
7 67.95 67.95
2 68.1 68.1
3 68.1 68.1
6 68.25 68.25
7 68.25 68.25
1 69.6 69.6
4 69.75 69.75
1 69.9 69.9
4 70.05 70.05
1 70.2 70.2
4 70.35 70.35
1 70.5 70.5
4 70.65 70.65
1 70.8 70.8
4 70.95 70.95
1 71.1 71.1
4 71.25 71.25
1 71.4 71.4
4 71.55 71.55
1 71.7 71.7
4 71.85 71.85
1 72 72
1 72.3 72.3
2 72.45 72.45
4 72.75 72.75
4 72.9 72.9
4 73.05 73.05
1 73.2 73.2
1 73.5 73.5
2 73.65 73.65
4 73.95 73.95
4 74.1 74.1
4 74.25 74.25
1 74.4 74.4
3 74.55 74.55
2 74.7 74.7
4 74.85 74.85
1 75 75
3 75.15 75.15
2 75.3 75.3
4 75.45 75.45
6 75.6 75.6
7 75.75 75.75
6 76.05 76.05
4 76.35 76.35
4 76.5 76.5
4 76.65 76.65
1 76.8 76.8
3 77.1 77.1
2 77.25 77.25
4 77.55 77.55
4 77.7 77.7
4 77.85 77.85
1 78 78
3 78.3 78.3
2 78.45 78.45
4 78.75 78.75
4 78.9 78.9
4 79.05 79.05
5 79.2 79.2
6 79.35 79.35
7 79.5 79.5
5 79.65 79.65
6 79.8 79.8
7 79.95 79.95
5 80.1 80.1
6 80.25 80.25
7 80.4 80.4
5 80.55 80.55
7 80.7 80.7
5 80.85 80.85
7 81 81
5 81.15 81.15
7 81.3 81.3
5 81.45 81.45
6 81.6 81.6
7 81.75 81.75
8 81.9 81.9
6 82.2 82.2
7 82.35 82.35
8 82.5 82.5
6 82.8 82.8
7 82.95 82.95
8 83.1 83.1
5 83.25 83.25
6 83.55 83.55
7 83.7 83.7
6 84 84
7 84.15 84.15
8 84.3 84.3
6 84.6 84.6
7 84.75 84.75
8 84.9 84.9
6 85.2 85.2
7 85.35 85.35
8 85.5 85.5
6 85.65 85.65
7 85.95 85.95
8 86.1 86.1
2 86.4 86.4
3 86.55 86.55
4 86.7 86.7
2 87 87
3 87.15 87.15
4 87.3 87.3
2 87.6 87.6
3 87.75 87.75
4 87.9 87.9
1 88.05 88.05
2 88.35 88.35
3 88.5 88.5
1 88.8 88.8
2 89.1 89.1
3 89.4 89.4
4 89.55 89.55
2 89.85 89.85
4 91.2 91.2
4 91.5 91.5
3 91.65 91.65
1 91.95 91.95
1 92.1 92.1
1 92.25 92.25
4 92.4 92.4
4 92.7 92.7
3 92.85 92.85
1 93.15 93.15
1 93.3 93.3
1 93.45 93.45
4 93.6 93.6
2 93.75 93.75
3 93.9 93.9
1 94.05 94.05
4 94.2 94.2
2 94.35 94.35
3 94.5 94.5
1 94.65 94.65
7 94.8 94.8
6 94.95 94.95
7 95.25 95.25
1 95.55 95.55
1 95.7 95.7
1 95.85 95.85
4 96 96
2 96.3 96.3
3 96.45 96.45
1 96.75 96.75
1 96.9 96.9
1 97.05 97.05
4 97.2 97.2
2 97.5 97.5
3 97.65 97.65
1 97.95 97.95
1 98.1 98.1
1 98.25 98.25
8 98.4 98.4
7 98.55 98.55
6 98.7 98.7
8 98.85 98.85
7 99 99
6 99.15 99.15
8 99.3 99.3
7 99.45 99.45
6 99.6 99.6
8 99.75 99.75
6 99.9 99.9
8 100.05 100.05
6 100.2 100.2
8 100.35 100.35
6 100.5 100.5
8 100.65 100.65
7 100.8 100.8
6 100.95 100.95
5 101.1 101.1
7 101.4 101.4
6 101.55 101.55
5 101.7 101.7
7 102 102
6 102.15 102.15
5 102.3 102.3
8 102.45 102.45
7 102.75 102.75
6 102.9 102.9
7 103.2 103.2
6 103.35 103.35
5 103.5 103.5
7 103.8 103.8
6 103.95 103.95
5 104.1 104.1
7 104.4 104.4
6 104.55 104.55
5 104.7 104.7
7 104.85 104.85
6 105.15 105.15
5 105.3 105.3
3 105.6 105.6
2 105.75 105.75
1 105.9 105.9
3 106.2 106.2
2 106.35 106.35
1 106.5 106.5
3 106.8 106.8
2 106.95 106.95
1 107.1 107.1
4 107.25 107.25
3 107.55 107.55
2 107.7 107.7
4 108 108
3 108.3 108.3
2 108.6 108.6
1 108.75 108.75
3 109.05 109.05
2 110.4 111.6
3 110.4 111.6
6 110.4 111.6
7 110.4 111.6
Easy 3
4 2.25 2.25
2 2.55 2.55
4 2.85 2.85
1 3.15 3.15
3 3.45 3.45
2 3.75 3.75
4 4.05 4.05
5 4.35 4.35
7 4.65 4.65
6 4.95 4.95
8 5.25 5.25
5 5.55 5.55
7 5.85 5.85
6 6.15 6.15
8 6.45 6.45
1 6.75 6.75
3 7.05 7.05
2 7.35 7.35
4 7.65 7.65
1 7.95 7.95
3 8.25 8.25
2 8.55 8.55
4 8.85 8.85
5 9.15 9.15
7 9.45 9.45
6 9.75 9.75
8 10.05 10.05
5 10.35 10.35
5 10.8 11.1
6 11.1 11.4
7 11.4 11.7
8 11.7 12
1 12 12
2 12.3 12.3
3 12.6 12.6
3 13.05 13.05
2 13.35 13.35
1 13.65 13.65
4 14.1 14.1
3 14.7 14.7
2 15 15
2 15.45 15.45
3 15.75 15.75
4 16.05 16.05
1 16.5 16.5
2 17.1 17.1
3 17.4 17.4
3 17.85 17.85
2 18.15 18.15
1 18.45 18.45
4 18.9 18.9
3 19.5 19.5
2 19.8 19.8
1 20.1 20.1
4 20.4 20.7
3 20.7 21
2 21 21.3
1 21.3 21.6
7 21.9 21.9
6 22.2 22.2
6 22.65 22.65
7 22.95 22.95
8 23.25 23.25
5 23.7 23.7
6 24.3 24.3
7 24.6 24.6
7 25.05 25.05
6 25.35 25.35
5 25.65 25.65
8 26.1 26.1
7 26.7 26.7
6 27 27
6 27.45 27.45
7 27.75 27.75
8 28.05 28.05
5 28.5 28.5
6 29.1 29.1
7 29.4 29.4
8 29.7 29.7
5 30 30.3
6 30.3 30.6
7 30.6 30.9
8 30.9 31.2
5 31.2 31.35
6 31.65 31.65
7 31.95 31.95
7 32.25 32.25
8 32.55 32.55
6 33 33
5 33.3 33.3
8 33.6 33.6
7 33.9 33.9
6 34.65 34.65
8 34.95 34.95
5 35.4 35.4
8 36 36.15
7 36.45 36.45
6 36.75 36.75
6 37.05 37.05
5 37.35 37.35
7 37.8 37.8
8 38.1 38.1
1 38.4 38.7
2 38.7 39
3 39 39.3
4 39.3 39.6
1 39.6 39.9
2 39.9 40.2
3 40.2 40.5
4 40.5 40.8
4 41.1 41.1
2 41.4 41.4
1 41.85 41.85
5 42.75 42.75
5 43.2 43.5
6 43.5 43.8
7 43.8 44.1
8 44.1 44.4
1 44.4 44.7
2 44.7 45
3 45 45.3
4 45.3 45.6
1 45.6 45.6
5 45.9 45.9
4 46.2 46.2
8 46.5 46.5
2 46.8 46.8
6 47.1 47.1
3 47.4 47.4
7 47.7 47.7
1 48 48.3
4 48.3 48.6
2 48.6 48.9
3 48.9 49.2
5 49.2 49.5
8 49.5 49.8
6 49.8 50.1
7 50.1 50.4
5 50.7 50.7
7 51 51
4 51.3 51.3
3 51.6 51.6
2 52.05 52.05
1 52.5 52.5
4 52.8 52.8
3 53.1 53.1
2 53.4 53.4
1 53.85 53.85
1 54.75 54.75
3 55.2 55.2
1 55.5 55.5
4 55.8 55.8
1 56.25 56.25
1 56.55 56.55
2 56.85 56.85
3 57.15 57.15
3 57.6 57.6
3 57.9 57.9
4 58.35 58.35
4 58.65 58.65
5 60.3 60.3
7 60.6 60.6
4 60.9 60.9
3 61.2 61.2
2 61.65 61.65
1 62.1 62.1
2 62.4 62.4
1 62.7 62.7
4 63 63
3 63.45 63.45
5 64.35 64.35
7 64.8 64.8
5 65.1 65.1
8 65.4 65.4
5 65.85 65.85
7 66.15 66.15
6 66.45 66.45
6 66.9 66.9
7 67.2 67.2
6 67.95 67.95
7 67.95 67.95
6 68.25 68.25
7 68.25 68.25
1 69.6 69.6
1 69.9 69.9
1 70.2 70.2
1 70.5 70.5
1 70.8 70.8
1 71.1 71.1
1 71.4 71.4
1 71.7 71.7
1 72 72
2 72.45 72.45
4 72.9 72.9
1 73.2 73.2
2 73.65 73.65
4 74.1 74.1
1 74.4 74.4
2 74.7 74.7
3 75 75
4 75.3 75.3
1 75.6 75.6
2 76.05 76.05
4 76.5 76.5
1 76.8 76.8
2 77.25 77.25
4 77.7 77.7
1 78 78
2 78.45 78.45
4 78.9 78.9
5 79.2 79.2
7 79.5 79.5
5 79.8 79.8
7 80.1 80.1
6 80.4 80.4
8 80.7 80.7
6 81 81
8 81.3 81.3
4 81.6 81.6
1 81.9 81.9
4 82.2 82.2
1 82.5 82.5
4 82.8 82.8
2 83.1 83.1
1 83.25 83.25
4 83.7 83.7
1 84 84
4 84.3 84.3
1 84.6 84.6
4 84.9 84.9
1 85.2 85.2
3 85.5 85.5
4 85.65 85.65
1 86.1 86.1
8 86.4 86.4
5 86.7 86.7
8 87 87
5 87.3 87.3
8 87.6 87.6
6 87.9 87.9
5 88.05 88.05
8 88.5 88.5
1 88.8 88.8
2 89.1 89.1
3 89.4 89.4
2 89.85 89.85
4 91.2 91.2
3 91.65 91.65
1 92.1 92.1
4 92.4 92.4
3 92.85 92.85
1 93.3 93.3
4 93.6 93.6
3 93.9 93.9
2 94.2 94.2
1 94.5 94.5
7 94.8 94.8
6 95.25 95.25
1 95.7 95.7
1 96 96
2 96.45 96.45
4 96.9 96.9
1 97.2 97.2
2 97.65 97.65
4 98.1 98.1
1 98.4 98.4
2 98.7 98.7
3 99 99
4 99.3 99.3
5 99.6 99.9
6 99.9 100.2
7 100.2 100.5
8 100.5 100.8
3 100.8 100.8
1 101.1 101.1
3 101.4 101.4
1 101.7 101.7
3 102 102
1 102.3 102.3
4 102.45 102.45
2 102.9 102.9
7 103.2 103.2
5 103.5 103.5
7 103.8 103.8
5 104.1 104.1
7 104.4 104.4
5 104.7 104.7
8 104.85 104.85
6 105.3 105.3
3 105.6 105.6
1 105.9 105.9
3 106.2 106.2
1 106.5 106.5
3 106.8 106.8
1 107.1 107.1
4 107.25 107.25
2 107.7 107.7
4 108 108
3 108.3 108.3
2 108.6 108.6
3 109.05 109.05
2 110.4 111.6
3 110.4 111.6
6 110.4 111.6
7 110.4 111.6
