令和 / ゴールデンボンバー
4 66.9716 66.9716
3 67.1829 67.1829
4 67.3942 67.3942
1 67.6054 67.6054
3 67.6054 67.6054
4 67.8167 67.8167
1 68.028 68.028
3 68.028 68.028
1 68.2392 68.2392
4 68.2392 68.2392
2 68.6618 68.6618
4 68.6618 68.6618
1 68.873 68.873
1 69.0843 69.0843
3 69.0843 69.0843
2 69.2956 69.2956
2 69.5068 69.5068
4 69.5068 69.5068
1 69.9294 69.9294
2 70.1406 70.1406
1 70.3519 70.3519
4 70.3519 70.3519
2 70.5632 70.5632
1 70.7745 70.7745
2 70.9857 70.9857
4 70.9857 70.9857
1 71.197 71.197
2 71.4083 71.4083
4 71.4083 71.4083
1 71.6195 71.6195
4 71.8308 71.8308
5 72.0421 72.0421
7 72.0421 72.0421
8 72.2533 72.2533
6 72.4646 72.4646
8 72.4646 72.4646
7 72.6759 72.6759
5 72.8871 72.8871
7 72.8871 72.8871
8 73.3097 73.3097
7 73.5209 73.5209
5 73.7322 73.7322
8 73.7322 73.7322
7 73.9435 73.9435
8 74.1547 74.1547
5 74.366 74.366
7 74.366 74.366
8 74.5773 74.5773
5 74.7885 74.7885
7 74.7885 74.7885
5 74.9998 74.9998
8 74.9998 74.9998
1 75.4223 75.4223
3 75.4223 75.4223
2 76.2674 76.2674
4 76.2674 76.2674
1 77.1125 77.1125
3 77.1125 77.1125
1 77.3237 77.3237
2 77.535 77.535
4 77.535 77.535
4 77.7463 77.7463
2 77.9575 77.9575
3 77.9575 77.9575
1 78.1688 78.1688
1 78.3801 78.3801
4 78.3801 78.3801
4 78.5914 78.5914
2 78.8026 78.8026
4 78.8026 78.8026
1 79.0139 79.0139
1 79.2252 79.2252
3 79.2252 79.2252
2 79.4364 79.4364
2 79.6477 79.6477
4 79.6477 79.6477
1 80.0702 80.0702
2 80.2815 80.2815
1 80.4928 80.4928
4 80.4928 80.4928
2 80.704 80.704
1 80.9153 80.9153
2 81.1266 81.1266
4 81.1266 81.1266
1 81.3378 81.3378
2 81.5491 81.5491
4 81.5491 81.5491
1 81.7604 81.7604
4 81.7604 81.7604
1 82.1829 82.1829
3 82.1829 82.1829
4 82.3942 82.3942
2 82.6054 82.6054
4 82.6054 82.6054
3 82.8167 82.8167
1 83.028 83.028
3 83.028 83.028
4 83.4505 83.4505
3 83.6618 83.6618
1 83.873 83.873
4 83.873 83.873
3 84.0843 84.0843
4 84.2956 84.2956
1 84.5068 84.5068
3 84.5068 84.5068
4 84.7181 84.7181
1 84.9294 84.9294
3 84.9294 84.9294
4 85.1406 85.1406
1 85.3519 85.3519
6 85.5632 85.5632
8 85.5632 85.5632
5 85.7745 85.7745
5 85.9857 85.9857
7 85.9857 85.9857
6 86.197 86.197
6 86.4083 86.4083
8 86.4083 86.4083
5 86.8308 86.8308
6 87.0421 87.0421
5 87.2533 87.2533
8 87.2533 87.2533
6 87.4646 87.4646
5 87.6759 87.6759
6 87.8871 87.8871
8 87.8871 87.8871
5 88.0984 88.0984
6 88.3097 88.3097
8 88.3097 88.3097
5 88.5209 88.5209
8 88.5209 88.5209
2 88.9435 88.9435
4 88.9435 88.9435
1 89.7885 89.7885
3 89.7885 89.7885
2 90.6336 90.6336
4 90.6336 90.6336
4 90.8449 90.8449
1 91.0561 91.0561
3 91.0561 91.0561
1 91.2674 91.2674
2 91.4787 91.4787
3 91.4787 91.4787
4 91.6899 91.6899
1 91.9012 91.9012
4 91.9012 91.9012
1 92.1125 92.1125
3 92.3237 92.3237
4 92.3237 92.3237
Hard 5
2 1.05614 1.05614
3 1.05614 1.05614
1 1.90121 1.90121
2 2.11248 2.11248
3 2.32375 2.32375
4 2.53501 2.53501
3 2.74628 2.74628
2 2.95755 2.95755
1 3.16882 3.16882
6 4.85896 4.85896
7 4.85896 4.85896
5 5.70403 5.70403
6 5.9153 5.9153
7 6.12656 6.12656
8 6.33783 6.33783
3 6.5491 6.5491
2 6.76037 6.76037
1 6.97163 6.97163
4 7.8167 10.3519
1 8.66177 10.3519
2 9.50685 10.3519
3 9.50685 10.3519
4 11.197 11.197
1 11.4083 11.4083
4 11.6195 11.7252
1 11.9364 12.0421
3 12.2533 12.359
2 12.5702 12.6759
3 13.0984 13.0984
2 13.3097 13.4153
4 13.6266 13.7322
1 13.9435 14.0491
3 14.2604 14.366
6 14.7885 14.7885
7 14.9998 15.1054
8 15.3167 15.4223
5 15.6336 15.7392
6 15.9505 16.0561
6 16.4787 16.4787
8 16.6899 16.7956
7 17.0068 17.1125
5 17.3237 17.4294
6 17.6406 17.7463
4 18.1688 18.1688
1 18.3801 18.3801
4 18.697 18.697
2 18.9083 18.9083
4 19.2252 19.2252
1 19.4364 19.4364
4 19.859 19.859
2 20.0702 20.0702
4 20.3871 20.3871
1 20.5984 20.5984
4 20.9153 20.9153
2 21.1266 21.1266
4 21.5491 21.5491
1 21.7604 21.7604
4 22.0773 22.0773
2 22.2885 22.2885
4 22.6054 22.6054
1 22.8167 22.8167
4 23.028 24.7181
1 23.4505 24.7181
7 23.873 24.7181
6 24.2956 24.7181
2 24.9294 24.9294
3 25.1406 25.2463
2 25.4575 25.4575
4 25.6688 25.7745
2 25.9857 25.9857
3 26.197 26.197
2 26.6195 26.6195
4 26.8308 26.9364
2 27.1477 27.1477
3 27.359 27.4646
2 27.6759 27.6759
4 27.8871 27.8871
3 28.3097 28.3097
2 28.5209 28.6266
3 28.8378 28.8378
1 29.0491 29.1547
3 29.366 29.366
2 29.5773 29.5773
1 29.7885 31.4787
4 30.2111 31.4787
2 30.6336 31.4787
3 31.0561 31.4787
7 31.6899 31.6899
6 31.9012 32.0068
7 32.2181 32.2181
5 32.4294 32.535
7 32.7463 32.7463
6 32.9575 32.9575
7 33.3801 33.3801
5 33.5914 33.697
7 33.9083 33.9083
6 34.1195 34.2252
7 34.4364 34.4364
5 34.6477 34.6477
6 35.0702 35.0702
7 35.2815 35.3871
6 35.5984 35.5984
8 35.8097 35.9153
6 36.1266 36.1266
7 36.3378 36.3378
5 36.5491 38.2392
6 36.9716 38.2392
7 37.3942 38.2392
8 37.8167 38.2392
4 38.2392 38.2392
1 38.4505 38.4505
4 38.6618 38.6618
1 38.873 38.873
4 39.0843 39.0843
1 39.2956 39.2956
4 39.5068 39.5068
1 39.7181 39.7181
3 39.9294 39.9294
2 40.1406 40.1406
3 40.3519 40.3519
2 40.5632 40.5632
3 40.7745 40.7745
2 40.9857 40.9857
3 41.197 41.197
2 41.4083 41.4083
4 41.6195 41.6195
1 41.8308 41.8308
3 42.0421 42.0421
2 42.2533 42.2533
4 42.4646 42.4646
1 42.6759 42.6759
3 42.8871 42.8871
2 43.0984 43.0984
4 43.3097 43.3097
1 43.5209 43.5209
3 43.7322 43.7322
2 43.9435 43.9435
4 44.1547 44.1547
1 44.366 44.366
3 44.5773 44.5773
2 44.7885 44.7885
4 44.9998 44.9998
4 45.2111 45.2111
5 45.4223 45.4223
5 45.6336 45.6336
4 45.8449 45.8449
4 46.0561 46.0561
5 46.2674 46.2674
5 46.4787 46.4787
4 46.9012 46.9012
4 47.3237 47.3237
4 47.535 47.535
4 47.7463 47.7463
5 47.9575 47.9575
5 48.1688 48.1688
8 48.3801 48.3801
7 48.5914 48.5914
8 48.8026 48.8026
7 49.0139 49.0139
8 49.2252 49.2252
7 49.4364 49.4364
8 49.6477 49.6477
7 49.859 49.859
5 50.0702 50.0702
6 50.2815 50.2815
5 50.4928 50.4928
6 50.704 50.704
5 50.9153 50.9153
6 51.1266 51.1266
5 51.3378 51.3378
6 51.5491 51.5491
3 51.7604 51.7604
4 51.7604 51.7604
1 52.3942 52.3942
2 52.3942 52.3942
1 53.4505 53.4505
4 53.4505 53.4505
2 54.0843 54.0843
3 54.0843 54.0843
3 55.1406 55.1406
4 55.1406 55.1406
5 55.7745 55.7745
6 55.7745 55.7745
1 56.8308 56.8308
6 56.8308 56.8308
4 57.4646 57.4646
7 57.4646 57.4646
1 58.5209 58.5209
3 59.1547 59.1547
4 59.5773 59.5773
4 60.2111 60.2111
2 60.8449 60.8449
1 61.2674 61.2674
4 61.9012 61.9012
1 62.1125 62.1125
4 62.3237 62.3237
1 62.535 62.535
4 62.7463 62.7463
1 62.9575 62.9575
4 63.1688 63.1688
1 63.3801 63.3801
1 63.5914 65.0702
4 63.5914 65.0702
2 64.4364 65.0702
3 64.4364 65.0702
1 65.2815 65.2815
3 65.2815 65.2815
2 65.704 65.704
4 65.704 65.704
1 66.1266 66.1266
4 66.1266 66.1266
4 66.5491 66.5491
4 66.7604 66.7604
2 66.9716 66.9716
1 67.1829 67.1829
2 67.6054 67.6054
4 68.028 68.028
4 68.2392 68.2392
2 68.6618 68.6618
4 68.6618 68.6618
1 69.0843 69.0843
3 69.0843 69.0843
1 69.5068 69.5068
4 69.5068 69.5068
7 69.9294 69.9294
8 70.1406 70.1406
4 70.3519 70.3519
1 70.5632 70.5632
2 70.9857 70.9857
4 71.4083 71.4083
4 71.8308 71.8308
5 72.0421 72.0421
7 72.0421 72.0421
6 72.4646 72.4646
8 72.4646 72.4646
5 72.8871 72.8871
8 72.8871 72.8871
8 73.3097 73.3097
8 73.5209 73.5209
6 73.7322 73.7322
5 73.9435 73.9435
6 74.366 74.366
8 74.7885 74.7885
8 74.9998 74.9998
1 75.4223 75.4223
3 75.4223 75.4223
2 76.2674 76.2674
4 76.2674 76.2674
1 77.1125 77.1125
1 77.3237 77.3237
4 77.535 77.535
4 77.7463 77.7463
1 77.9575 77.9575
1 78.1688 78.1688
4 78.3801 78.3801
4 78.5914 78.5914
2 78.8026 78.8026
4 78.8026 78.8026
1 79.2252 79.2252
3 79.2252 79.2252
1 79.6477 79.6477
4 79.6477 79.6477
1 80.0702 80.0702
1 80.2815 80.2815
3 80.4928 80.4928
4 80.704 80.704
3 81.1266 81.1266
1 81.5491 81.5491
1 81.7604 81.7604
1 82.1829 82.1829
3 82.1829 82.1829
2 82.6054 82.6054
4 82.6054 82.6054
1 83.028 83.028
4 83.028 83.028
6 83.4505 83.4505
5 83.6618 83.6618
1 83.873 83.873
4 84.0843 84.0843
3 84.5068 84.5068
1 84.9294 84.9294
1 85.3519 85.3519
6 85.5632 85.5632
8 85.5632 85.5632
5 85.9857 85.9857
7 85.9857 85.9857
5 86.4083 86.4083
8 86.4083 86.4083
5 86.8308 86.8308
5 87.0421 87.0421
7 87.2533 87.2533
8 87.4646 87.4646
7 87.8871 87.8871
5 88.3097 88.3097
5 88.5209 88.5209
2 88.9435 88.9435
4 88.9435 88.9435
1 89.7885 89.7885
3 89.7885 89.7885
4 90.6336 90.6336
4 90.8449 90.8449
1 91.0561 91.0561
1 91.2674 91.2674
3 91.4787 91.4787
3 91.6899 91.6899
2 91.9012 91.9012
2 92.1125 92.1125
2 92.3237 92.7463
3 92.3237 92.7463
Easy 2
2 1.05614 1.05614
3 1.05614 1.05614
1 1.90121 1.90121
2 2.32375 2.32375
3 2.74628 2.74628
4 3.16882 3.16882
6 4.85896 4.85896
7 4.85896 4.85896
5 5.70403 5.70403
6 6.12656 6.12656
7 6.5491 6.5491
8 6.97163 6.97163
4 7.8167 10.3519
1 8.66177 10.3519
2 9.50685 10.3519
3 9.50685 10.3519
4 11.197 11.197
4 11.6195 11.6195
3 11.9364 11.9364
2 12.2533 12.2533
1 12.5702 12.5702
1 13.0984 13.3097
2 13.6266 13.6266
3 13.9435 13.9435
4 14.2604 14.2604
8 14.7885 14.9998
7 15.3167 15.3167
6 15.6336 15.6336
5 15.9505 15.9505
5 16.4787 16.6899
6 17.0068 17.0068
7 17.3237 17.3237
8 17.6406 17.6406
4 18.1688 18.3801
3 18.697 18.9083
2 19.2252 19.4364
1 19.859 20.0702
2 20.3871 20.5984
3 20.9153 21.1266
8 21.5491 21.7604
7 22.0773 22.2885
6 22.6054 22.8167
8 23.028 24.7181
7 23.4505 24.7181
6 23.873 24.7181
5 24.2956 24.7181
1 24.9294 25.1406
1 25.4575 25.6688
1 25.9857 26.197
4 26.6195 26.8308
4 27.1477 27.359
4 27.6759 27.8871
2 28.3097 28.5209
2 28.8378 29.0491
2 29.366 29.5773
1 29.7885 31.2674
2 30.2111 31.2674
3 30.6336 31.2674
4 31.0561 31.2674
8 31.6899 31.9012
8 32.2181 32.4294
8 32.7463 32.9575
5 33.3801 33.5914
5 33.9083 34.1195
5 34.4364 34.6477
7 35.0702 35.2815
7 35.5984 35.8097
7 36.1266 36.3378
5 36.5491 38.028
6 36.9716 38.028
7 37.3942 38.028
8 37.8167 38.028
4 38.2392 38.2392
3 38.6618 38.6618
2 39.0843 39.0843
1 39.5068 39.5068
4 39.9294 39.9294
3 40.3519 40.3519
2 40.7745 40.7745
1 41.197 41.197
2 41.6195 41.6195
3 42.0421 42.0421
1 42.4646 42.4646
2 42.8871 42.8871
4 43.3097 43.3097
4 43.7322 43.7322
1 44.1547 44.1547
3 44.5773 44.5773
4 44.9998 44.9998
5 45.4223 45.4223
4 45.8449 45.8449
5 46.2674 46.2674
4 46.9012 46.9012
4 47.3237 47.3237
4 47.535 47.535
5 47.9575 47.9575
8 48.3801 48.3801
7 48.8026 48.8026
6 49.2252 49.2252
5 49.6477 49.6477
5 50.0702 50.0702
6 50.4928 50.4928
7 50.9153 50.9153
8 51.3378 51.3378
2 51.7604 51.7604
4 51.7604 51.7604
1 52.3942 52.3942
3 52.3942 52.3942
1 53.4505 53.4505
3 53.4505 53.4505
2 54.0843 54.0843
4 54.0843 54.0843
1 55.1406 55.1406
4 55.1406 55.1406
2 55.7745 55.7745
3 55.7745 55.7745
2 56.8308 56.8308
3 56.8308 56.8308
1 57.4646 57.4646
4 57.4646 57.4646
1 58.5209 58.5209
3 59.1547 59.1547
4 59.5773 59.5773
4 60.2111 60.2111
2 60.8449 60.8449
1 61.2674 61.2674
4 61.9012 61.9012
1 62.3237 62.3237
4 62.7463 62.7463
1 63.1688 63.1688
1 63.5914 65.0702
4 63.5914 65.0702
2 64.4364 65.0702
3 64.4364 65.0702
1 65.2815 65.2815
3 65.2815 65.2815
2 65.704 65.704
4 65.704 65.704
1 66.1266 66.1266
4 66.1266 66.1266
4 66.5491 66.5491
2 66.9716 66.9716
2 67.6054 67.6054
4 68.028 68.028
2 68.6618 68.6618
4 68.6618 68.6618
1 69.0843 69.0843
3 69.0843 69.0843
1 69.5068 69.5068
4 69.5068 69.5068
1 69.9294 69.9294
4 70.3519 70.3519
4 70.9857 70.9857
2 71.6195 71.6195
5 72.0421 72.0421
7 72.0421 72.0421
6 72.4646 72.4646
8 72.4646 72.4646
5 72.8871 72.8871
8 72.8871 72.8871
8 73.3097 73.3097
6 73.7322 73.7322
6 74.366 74.366
8 74.7885 74.7885
1 75.4223 75.4223
3 75.4223 75.4223
2 76.2674 76.2674
4 76.2674 76.2674
1 77.1125 77.1125
4 77.535 77.535
1 77.9575 77.9575
4 78.3801 78.3801
2 78.8026 78.8026
4 78.8026 78.8026
1 79.2252 79.2252
3 79.2252 79.2252
1 79.6477 79.6477
4 79.6477 79.6477
1 80.0702 80.0702
3 80.4928 80.4928
3 81.1266 81.1266
1 81.5491 81.5491
1 82.1829 82.1829
3 82.1829 82.1829
2 82.6054 82.6054
4 82.6054 82.6054
1 83.028 83.028
4 83.028 83.028
6 83.4505 83.4505
1 83.873 83.873
3 84.5068 84.5068
1 85.1406 85.1406
6 85.5632 85.5632
8 85.5632 85.5632
5 85.9857 85.9857
7 85.9857 85.9857
5 86.4083 86.4083
8 86.4083 86.4083
5 86.8308 86.8308
7 87.2533 87.2533
7 87.8871 87.8871
5 88.3097 88.3097
2 88.9435 88.9435
4 88.9435 88.9435
1 89.7885 89.7885
3 89.7885 89.7885
2 90.6336 90.6336
4 90.6336 90.6336
1 91.0561 91.0561
3 91.0561 91.0561
2 91.4787 91.4787
4 91.4787 91.4787
1 91.9012 91.9012
3 91.9012 91.9012
2 92.3237 92.7463
3 92.3237 92.7463
